datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2020-12-12 10:00:00,2020-12-12 11:00:00,10239,Melbourne CBD,10.333
2020-12-12 11:00:00,2020-12-12 12:00:00,10239,Melbourne CBD,13.567
2020-12-12 12:00:00,2020-12-12 13:00:00,10239,Melbourne CBD,17.583
2020-12-12 13:00:00,2020-12-12 14:00:00,10239,Melbourne CBD,17.117
2020-12-12 14:00:00,2020-12-12 15:00:00,10239,Melbourne CBD,9.717
2020-12-12 15:00:00,2020-12-12 16:00:00,10239,Melbourne CBD,11.417
2020-12-12 16:00:00,2020-12-12 17:00:00,10239,Melbourne CBD,9.583
2020-12-12 17:00:00,2020-12-12 18:00:00,10239,Melbourne CBD,4.8
2020-12-12 18:00:00,2020-12-12 19:00:00,10239,Melbourne CBD,-1.4
2020-12-12 19:00:00,2020-12-12 20:00:00,10239,Melbourne CBD,4.783
2020-12-12 20:00:00,2020-12-12 21:00:00,10239,Melbourne CBD,4.783
2020-12-12 21:00:00,2020-12-12 22:00:00,10239,Melbourne CBD,5.467
2020-12-12 22:00:00,2020-12-12 23:00:00,10239,Melbourne CBD,11.267
2020-12-12 23:00:00,2020-12-13 00:00:00,10239,Melbourne CBD,9.7
2020-12-13 00:00:00,2020-12-13 01:00:00,10239,Melbourne CBD,5.783
2020-12-13 01:00:00,2020-12-13 02:00:00,10239,Melbourne CBD,7.433
2020-12-13 02:00:00,2020-12-13 03:00:00,10239,Melbourne CBD,6.683
2020-12-13 03:00:00,2020-12-13 04:00:00,10239,Melbourne CBD,7.8
2020-12-13 04:00:00,2020-12-13 05:00:00,10239,Melbourne CBD,4.717
2020-12-13 05:00:00,2020-12-13 06:00:00,10239,Melbourne CBD,1.183
2020-12-13 06:00:00,2020-12-13 07:00:00,10239,Melbourne CBD,-0.7
2020-12-13 07:00:00,2020-12-13 08:00:00,10239,Melbourne CBD,2.183
2020-12-13 08:00:00,2020-12-13 09:00:00,10239,Melbourne CBD,0.617
2020-12-13 09:00:00,2020-12-13 10:00:00,10239,Melbourne CBD,5.033
2020-12-13 10:00:00,2020-12-13 11:00:00,10239,Melbourne CBD,2.3
2020-12-13 11:00:00,2020-12-13 12:00:00,10239,Melbourne CBD,10.7
2020-12-13 12:00:00,2020-12-13 13:00:00,10239,Melbourne CBD,5.783
2020-12-13 13:00:00,2020-12-13 14:00:00,10239,Melbourne CBD,3.483
2020-12-13 14:00:00,2020-12-13 15:00:00,10239,Melbourne CBD,0.55
2020-12-13 15:00:00,2020-12-13 16:00:00,10239,Melbourne CBD,9.783
2020-12-13 16:00:00,2020-12-13 17:00:00,10239,Melbourne CBD,7.083
2020-12-13 17:00:00,2020-12-13 18:00:00,10239,Melbourne CBD,2.1
2020-12-13 18:00:00,2020-12-13 19:00:00,10239,Melbourne CBD,-2.283
2020-12-13 19:00:00,2020-12-13 20:00:00,10239,Melbourne CBD,0.483
2020-12-13 20:00:00,2020-12-13 21:00:00,10239,Melbourne CBD,4.867
2020-12-13 21:00:00,2020-12-13 22:00:00,10239,Melbourne CBD,3.967
2020-12-13 22:00:00,2020-12-13 23:00:00,10239,Melbourne CBD,1.183
2020-12-13 23:00:00,2020-12-14 00:00:00,10239,Melbourne CBD,7.083
2020-12-14 00:00:00,2020-12-14 01:00:00,10239,Melbourne CBD,1.8
2020-12-14 01:00:00,2020-12-14 02:00:00,10239,Melbourne CBD,5.783
2020-12-14 02:00:00,2020-12-14 03:00:00,10239,Melbourne CBD,0.233
2020-12-14 03:00:00,2020-12-14 04:00:00,10239,Melbourne CBD,5.217
2020-12-14 04:00:00,2020-12-14 05:00:00,10239,Melbourne CBD,0.517
2020-12-14 05:00:00,2020-12-14 06:00:00,10239,Melbourne CBD,3.783
2020-12-14 06:00:00,2020-12-14 07:00:00,10239,Melbourne CBD,3.733
2020-12-14 07:00:00,2020-12-14 08:00:00,10239,Melbourne CBD,6.167
2020-12-14 08:00:00,2020-12-14 09:00:00,10239,Melbourne CBD,8.817
2020-12-14 09:00:00,2020-12-14 10:00:00,10239,Melbourne CBD,5.067
2020-12-14 10:00:00,2020-12-14 11:00:00,10239,Melbourne CBD,7.733
2020-12-14 11:00:00,2020-12-14 12:00:00,10239,Melbourne CBD,4.967
2020-12-14 12:00:00,2020-12-14 13:00:00,10239,Melbourne CBD,7.667
2020-12-14 13:00:00,2020-12-14 14:00:00,10239,Melbourne CBD,6.233
2020-12-14 14:00:00,2020-12-14 15:00:00,10239,Melbourne CBD,8.467
